month,densitybin,agebin,count_asex,bin_total_asex,asexual_par_dens_freq,count_gamet,bin_total_gamet,gametocyte_dens_freq,Site
8,5.0,80,31,159,0.194968553,0,159,0,Sapone_2018
8,5.0,15,25,140,0.178571429,4,140,0.028571429,Sapone_2018
8,5.0,5,7,102,0.068627451,0,102,0,Sapone_2018
8,50000.0,80,0,159,0,0,159,0,Sapone_2018
8,50000.0,15,1,140,0.007142857,0,140,0,Sapone_2018
8,50000.0,5,0,102,0,0,102,0,Sapone_2018
8,0.0,80,66,159,0.41509434,150,159,0.943396226,Sapone_2018
8,0.0,15,31,140,0.221428571,124,140,0.885714286,Sapone_2018
8,0.0,5,75,102,0.735294118,96,102,0.941176471,Sapone_2018
8,5000.0,80,1,159,0.006289308,0,159,0,Sapone_2018
8,5000.0,15,11,140,0.078571429,0,140,0,Sapone_2018
8,5000.0,5,5,102,0.049019608,0,102,0,Sapone_2018
8,0.5,80,35,159,0.220125786,8,159,0.050314465,Sapone_2018
8,0.5,15,7,140,0.05,11,140,0.078571429,Sapone_2018
8,0.5,5,6,102,0.058823529,6,102,0.058823529,Sapone_2018
8,50.0,80,16,159,0.100628931,0,159,0,Sapone_2018
8,50.0,15,34,140,0.242857143,0,140,0,Sapone_2018
8,50.0,5,5,102,0.049019608,0,102,0,Sapone_2018
8,500.0,80,9,159,0.056603774,0,159,0,Sapone_2018
8,500.0,15,29,140,0.207142857,0,140,0,Sapone_2018
8,500.0,5,3,102,0.029411765,0,102,0,Sapone_2018
8,500000.0,80,0,159,0,0,159,0,Sapone_2018
8,500000.0,15,0,140,0,0,140,0,Sapone_2018
8,500000.0,5,1,102,0.009803922,0,102,0,Sapone_2018
17,5.0,80,13,119,0.109243697,0,119,0,Sapone_2018
17,5.0,15,7,109,0.064220183,9,109,0.082568807,Sapone_2018
17,5.0,5,0,63,0,6,63,0.095238095,Sapone_2018
17,50000.0,80,0,119,0,0,119,0,Sapone_2018
17,50000.0,15,0,109,0,0,109,0,Sapone_2018
17,50000.0,5,1,63,0.015873016,0,63,0,Sapone_2018
17,0.0,80,75,119,0.630252101,98,119,0.823529412,Sapone_2018
17,0.0,15,59,109,0.541284404,74,109,0.678899083,Sapone_2018
17,0.0,5,55,63,0.873015873,54,63,0.857142857,Sapone_2018
17,5000.0,80,2,119,0.016806723,0,119,0,Sapone_2018
17,5000.0,15,10,109,0.091743119,0,109,0,Sapone_2018
17,5000.0,5,2,63,0.031746032,0,63,0,Sapone_2018
17,0.5,80,17,119,0.142857143,17,119,0.142857143,Sapone_2018
17,0.5,15,3,109,0.027522936,22,109,0.201834862,Sapone_2018
17,0.5,5,1,63,0.015873016,2,63,0.031746032,Sapone_2018
17,50.0,80,5,119,0.042016807,0,119,0,Sapone_2018
17,50.0,15,13,109,0.119266055,2,109,0.018348624,Sapone_2018
17,50.0,5,3,63,0.047619048,0,63,0,Sapone_2018
17,500.0,80,4,119,0.033613445,1,119,0.008403361,Sapone_2018
17,500.0,15,16,109,0.146788991,0,109,0,Sapone_2018
17,500.0,5,1,63,0.015873016,0,63,0,Sapone_2018
17,500000.0,80,0,119,0,0,119,0,Sapone_2018
17,500000.0,15,0,109,0,0,109,0,Sapone_2018
17,500000.0,5,0,63,0,0,63,0,Sapone_2018
13,5.0,80,26,111,0.234234234,9,111,0.081081081,Sapone_2018
13,5.0,15,4,92,0.043478261,25,92,0.27173913,Sapone_2018
13,5.0,5,3,61,0.049180328,6,61,0.098360656,Sapone_2018
13,50000.0,80,0,111,0,0,111,0,Sapone_2018
13,50000.0,15,0,92,0,0,92,0,Sapone_2018
13,50000.0,5,3,61,0.049180328,0,61,0,Sapone_2018
13,0.0,80,45,111,0.405405405,76,111,0.684684685,Sapone_2018
13,0.0,15,36,92,0.391304348,45,92,0.489130435,Sapone_2018
13,0.0,5,45,61,0.737704918,47,61,0.770491803,Sapone_2018
13,5000.0,80,1,111,0.009009009,0,111,0,Sapone_2018
13,5000.0,15,3,92,0.032608696,0,92,0,Sapone_2018
13,5000.0,5,4,61,0.06557377,0,61,0,Sapone_2018
13,0.5,80,18,111,0.162162162,23,111,0.207207207,Sapone_2018
13,0.5,15,4,92,0.043478261,15,92,0.163043478,Sapone_2018
13,0.5,5,1,61,0.016393443,3,61,0.049180328,Sapone_2018
13,50.0,80,18,111,0.162162162,3,111,0.027027027,Sapone_2018
13,50.0,15,19,92,0.206521739,6,92,0.065217391,Sapone_2018
13,50.0,5,2,61,0.032786885,4,61,0.06557377,Sapone_2018
13,500.0,80,3,111,0.027027027,0,111,0,Sapone_2018
13,500.0,15,26,92,0.282608696,0,92,0,Sapone_2018
13,500.0,5,3,61,0.049180328,1,61,0.016393443,Sapone_2018
13,500000.0,80,0,111,0,0,111,0,Sapone_2018
13,500000.0,15,0,92,0,0,92,0,Sapone_2018
13,500000.0,5,0,61,0,0,61,0,Sapone_2018
25,5.0,80,20,113,0.17699115,3,113,0.026548673,Sapone_2018
25,5.0,15,11,103,0.106796117,11,103,0.106796117,Sapone_2018
25,5.0,5,1,57,0.01754386,5,57,0.087719298,Sapone_2018
25,50000.0,80,0,113,0,0,113,0,Sapone_2018
25,50000.0,15,0,103,0,0,103,0,Sapone_2018
25,50000.0,5,0,57,0,0,57,0,Sapone_2018
25,0.0,80,60,113,0.530973451,86,113,0.761061947,Sapone_2018
25,0.0,15,45,103,0.436893204,62,103,0.601941748,Sapone_2018
25,0.0,5,47,57,0.824561404,47,57,0.824561404,Sapone_2018
25,5000.0,80,0,113,0,0,113,0,Sapone_2018
25,5000.0,15,6,103,0.058252427,0,103,0,Sapone_2018
25,5000.0,5,3,57,0.052631579,0,57,0,Sapone_2018
25,0.5,80,17,113,0.150442478,21,113,0.185840708,Sapone_2018
25,0.5,15,4,103,0.038834951,26,103,0.252427184,Sapone_2018
25,0.5,5,1,57,0.01754386,3,57,0.052631579,Sapone_2018
25,50.0,80,15,113,0.132743363,0,113,0,Sapone_2018
25,50.0,15,15,103,0.145631068,3,103,0.029126214,Sapone_2018
25,50.0,5,2,57,0.035087719,2,57,0.035087719,Sapone_2018
25,500.0,80,1,113,0.008849558,0,113,0,Sapone_2018
25,500.0,15,22,103,0.213592233,0,103,0,Sapone_2018
25,500.0,5,3,57,0.052631579,0,57,0,Sapone_2018
25,500000.0,80,0,113,0,0,113,0,Sapone_2018
25,500000.0,15,0,103,0,0,103,0,Sapone_2018
25,500000.0,5,0,57,0,0,57,0,Sapone_2018